word	isalpha	isascii	len_tokens	isPROPN
768	False	True	2	False
Tanzhou	True	True	2	True
Changsha	True	True	2	True
58th	False	True	2	False
Zhen	True	True	2	False
813	False	True	2	False
summarises	True	True	3	False
filial	True	True	3	False
affectionate	True	True	2	False
dutiful	True	True	3	False
贈衛八處士	True	False	5	False
詩史	True	False	2	False
shī	True	False	1	False
shǐ	True	False	1	False
prescriptions	True	True	2	False
paraphrased	True	True	4	False
truisms	True	True	3	False
詩聖	True	False	2	False
shèng	True	False	1	False
Confucius	True	True	3	False
750	False	True	1	False
sufferings	True	True	2	False
conscript	True	True	2	False
solipsism	True	True	4	False
Hawkes	True	True	2	False
objectively	True	True	2	False
afterthought	True	True	4	False
lends	True	True	2	False
grandeur	True	True	2	True
triviality	True	True	2	False
broadening	True	True	2	False
Jie	True	True	2	True
calligraphy	True	True	2	False
集大成	True	False	3	True
jídàchéng-	False	False	4	False
Mencius	True	True	2	False
singly	True	True	2	False
colloquial	True	True	4	False
allusive	True	True	3	False
facets	True	True	2	False
juxtaposition	True	True	4	False
poetics	True	True	2	False
chameleon	True	True	3	False
courtly	True	True	2	False
lǜshi	True	False	2	True
1500	False	True	1	False
exponent	True	True	2	True
parallelisms	True	True	2	False
Encyclopædia	True	False	6	False
Britannica	True	True	3	True
connotative	True	True	3	False
overtones	True	True	2	False
intonational	True	True	2	False
potentials	True	True	2	False
paragon	True	True	2	True
Juyi	True	True	2	False
10th	False	True	1	False
Zhuang	True	True	2	True
11th	False	True	1	False
Daoist	True	True	3	False
Confucianism	True	True	4	False
exemplar	True	True	4	False
preeminent	True	True	3	False
vicissitudes	True	True	4	False
opposites	True	True	2	False
embryonic	True	True	2	False
patriotism	True	True	2	False
Yaochen	True	True	2	False
quotidian	True	True	3	True
utterance	True	True	2	False
20th	False	True	1	False
Rexroth	True	True	3	False
perceiving	True	True	3	False
Muromachi	True	True	3	False
Matsuo	True	True	2	True
Bashō	True	False	2	False
haiku	True	True	2	True
shisei	True	True	2	False
13th	False	True	1	False
kanshi	True	True	2	True
Bunka	True	True	2	True
Shūreishū	True	False	4	False
9th	False	True	1	False
appreciator	True	True	4	False
Kokan	True	True	2	True
Shiren	True	True	2	True
1278	False	True	2	False
1346	False	True	2	False
Rinzai	True	True	3	False
11	False	True	1	False
Saihokushū	True	False	4	False
Chūgan	True	False	2	True
Engetsu	True	True	3	True
prefaces	True	True	2	False
Gidō	True	False	2	False
Shūshin	True	False	2	False
Ashikaga	True	True	3	True
Shogunate	True	True	3	False
propagated	True	True	3	False
Nijō	True	False	2	False
Yoshimoto	True	True	3	True
Kampaku	True	True	3	True
renga	True	True	2	True
?	False	True	1	False
e.g.	False	True	4	False
Taiheiki	True	True	3	True
14th	False	True	1	False
noh	True	True	2	False
Hyakuman	True	True	4	False
Shunkan	True	True	3	True
1624	False	True	1	False
1643	False	True	1	False
Shào	True	False	2	False
Chuán	True	False	2	False
邵傳	True	False	2	False
Lǜshi	True	False	2	True
杜律集解	True	False	4	True
Toritsu	True	True	2	True
Shikkai	True	True	3	True
chōnin	True	False	2	False
Hayashi	True	True	2	True
Shunsai	True	True	3	True
37	False	True	1	False
Gahō	True	False	2	False
Bunshū	True	False	2	False
Zǐměi	True	False	3	True
[	False	True	1	False
]	False	True	1	False
readability	True	True	2	False
unfathomable	True	True	4	False
Oku	True	True	2	True
Hosomichi	True	True	3	False
春望	True	False	2	False
wording	True	True	2	False
p.	False	True	2	False
xxii	True	True	2	False
laboured	True	True	2	False
accommodating	True	True	4	False
allusions	True	True	2	False
enjambement	True	True	4	False
omit	True	True	2	False
Holyoak	True	True	3	False
approximates	True	True	2	False
parallelism	True	True	2	False
persuading	True	True	3	False
allusion	True	True	2	False
annotation	True	True	3	False
2015	False	True	1	False
literalness	True	True	2	False
2012	False	True	1	False
7	False	True	1	False
2013	False	True	1	False
Kristoffer	True	True	3	False
Fogelmark	True	True	3	False
Kristian	True	True	2	True
Lundin	True	True	2	True
Albin	True	True	2	False
Nedler	True	True	2	False
Savan	True	True	2	False
Kotecha	True	True	3	True
Shellback	True	True	2	False
Falk	True	True	2	False
Rami	True	True	2	True
Yacoub	True	True	3	False
infatuation	True	True	3	False
Wallonia	True	True	2	True
46	False	True	1	False
100	False	True	1	False
500	False	True	1	False
@,@	False	True	3	False
000	False	True	1	False
3	False	True	1	False
2014	False	True	1	False
Arnell	True	True	2	False
Jailhouse	True	True	2	True
Rammstein	True	True	3	True
10	False	True	1	False
4	False	True	1	False
carefree	True	True	2	False
jubilant	True	True	3	False
!	False	True	1	False
collaboratively	True	True	2	False
Cowell	True	True	2	False
Syco	True	True	2	False
17	False	True	1	False
18	False	True	1	False
uptempo	True	True	3	False
04	False	True	1	False
E4	False	True	2	True
♯	False	False	1	True
6	False	True	1	False
90	False	True	1	False
Musicnotes.com	False	True	4	True
frenetically	True	True	3	False
euphemisms	True	True	4	False
’	False	False	1	False
Dolan	True	True	2	False
Petridis	True	True	3	False
dislodge	True	True	4	False
Copsey	True	True	2	True
applauding	True	True	3	False
sonically	True	True	2	False
lyricism	True	True	2	False
Lansky	True	True	2	True
Idolator	True	True	2	True
HitFix	True	True	3	True
bouncy	True	True	3	False
ditty	True	True	2	True
Younie	True	True	2	True
4Music	False	True	2	False
lauding	True	True	2	False
falsetto	True	True	2	False
anthemic	True	True	2	False
13	False	True	1	False
152	False	True	1	False
26	False	True	1	False
30	False	True	1	False
83	False	True	1	False
65	False	True	1	False
207	False	True	1	False
25	False	True	1	False
denoting	True	True	2	False
27	False	True	1	False
70	False	True	1	False
becominh	True	True	4	True
RIANZ	True	True	3	True
40	False	True	1	False
certifications	True	True	2	False
IFPI	True	True	2	False
signifying	True	True	2	False
20	False	True	1	False
technicolor	True	True	4	False
romp	True	True	2	True
Zayn	True	True	2	False
Tomlinson	True	True	2	False
Premiering	True	True	2	False
Vevo	True	True	2	False
surfers	True	True	2	False
skiers	True	True	2	False
jailers	True	True	2	False
Bieber	True	True	2	False
34	False	True	1	False
%	False	True	1	False
38	False	True	1	False
50	False	True	1	False
154	False	True	1	False
191	False	True	1	False
Macatee	True	True	3	False
cheesy	True	True	3	False
Vena	True	True	2	True
conquering	True	True	2	False
Zap2it	False	True	4	False
disliking	True	True	4	False
Mikael	True	True	2	True
12	False	True	1	False
&	False	True	1	False
42	False	True	1	False
Horan	True	True	2	True
Ise	True	True	2	False
伊勢型戦艦	True	False	5	False
gata	True	True	2	False
senkan	True	True	2	True
dreadnought	True	True	3	False
IJN	True	True	2	True
I.	False	True	2	False
Fusō	True	False	2	False
Kantō	True	False	2	True
1923	False	True	1	False
1934	False	True	1	False
reconstructions	True	True	2	False
1942	False	True	1	False
floatplanes	True	True	2	False
Engaño	True	False	2	False
1944	False	True	1	False
decoyed	True	True	2	False
1945	False	True	1	False
Kita	True	True	2	True
airstrikes	True	True	3	False
1946	False	True	1	False
47	False	True	1	False
1905	False	True	1	False
Tsushima	True	True	3	True
Satō	True	False	1	True
Tetsutarō	True	False	3	True
theorized	True	True	2	False
1907	False	True	1	False
321	False	True	1	False
289	False	True	1	False
cohesive	True	True	2	False
Dreadnought	True	True	3	False
1906	False	True	1	False
Displacing	True	True	4	False
900	False	True	1	False
200	False	True	1	False
5	False	True	1	False
battlecruiser	True	True	4	True
setback	True	True	2	False
parity	True	True	2	False
Satsuma	True	True	3	True
Tsukuba	True	True	3	True
1911	False	True	1	False
outclassed	True	True	3	False
dreadnoughts	True	True	4	False
Kawachi	True	True	3	True
1908	False	True	1	False
1910	False	True	1	False
battlecruisers	True	True	4	False
Yamashiro	True	True	3	True
Hyūga	True	False	3	False
1913	False	True	1	False
1914	False	True	1	False
reassess	True	True	3	False
midships	True	True	3	False
45	False	True	1	False
36	False	True	1	False
kilogram	True	True	2	True
0	False	True	1	False
millimetre	True	True	3	False
140	False	True	1	False
barbette	True	True	3	False
Borodino	True	True	3	False
lengthened	True	True	2	False
93	False	True	1	False
58	False	True	1	False
23	False	True	1	False
43	False	True	1	False
forecastle	True	True	2	False
Fukui	True	True	3	True
Shizuo	True	True	3	False
habitability	True	True	2	False
92	False	True	1	False
64	False	True	1	False
208	False	True	1	False
683	False	True	2	False
28	False	True	1	False
94	False	True	1	False
29	False	True	1	False
650	False	True	1	False
660	False	True	1	False
1	False	True	1	False
360	False	True	1	False
metacentric	True	True	2	True
737	False	True	1	False
1930s	False	True	1	False
superstructures	True	True	2	False
tripod	True	True	2	True
foremasts	True	True	3	False
bulges	True	True	2	False
sterns	True	True	2	False
62	False	True	1	False
213	False	True	1	False
701	False	True	2	False
31	False	True	1	False
75	False	True	1	False
104	False	True	1	False
2	False	True	1	False
001	False	True	1	False
675	False	True	2	False
376	False	True	2	False
429	False	True	2	False
Kampon	True	True	2	False
Gō	True	False	1	False
cm2	False	True	2	False
275	False	True	1	False
657	False	True	2	False
kPa	True	True	2	True
185	False	True	1	False
240	False	True	1	False
56	False	True	1	False
498	False	True	2	False
shp	True	True	2	True
131	False	True	1	False
44	False	True	1	False
63	False	True	1	False
211	False	True	1	False
136	False	True	1	False
stowage	True	True	3	False
607	False	True	2	False
681	False	True	2	False
411	False	True	1	False
434	False	True	2	False
680	False	True	1	False
930	False	True	1	False
14	False	True	1	False
150	False	True	1	False
kilowatts	True	True	4	False
250	False	True	1	False
kilowatt	True	True	3	True
340	False	True	1	False
225	False	True	1	False
volts	True	True	2	False
80	False	True	1	False
60	False	True	1	False
78	False	True	1	False
07	False	True	1	False
81	False	True	1	False
050	False	True	1	False
440	False	True	1	False
113	False	True	1	False
195	False	True	1	False
870	False	True	1	False
580	False	True	1	False
060	False	True	2	False
calibre	True	True	3	True
35	False	True	1	False
41	False	True	1	False
superfiring	True	True	3	False
655	False	True	2	False
666	False	True	2	False
hydraulically	True	True	2	False
−	False	False	1	True
+	False	True	1	False
-3	False	True	2	False
1921	False	True	1	False
pneumatic	True	True	3	False
91	False	True	1	False
673	False	True	2	False
485	False	True	2	False
775	False	True	2	False
530	False	True	1	False
540	False	True	1	False
450	False	True	1	False
625	False	True	1	False
378	False	True	2	False
805	False	True	2	False
640	False	True	1	False
Sanshikidan	True	True	4	True
incendiary	True	True	3	False
shrapnel	True	True	4	False
centimetre	True	True	3	False
casemates	True	True	2	False
300	False	True	1	False
800	False	True	1	False
3rd	False	True	1	False
600	False	True	1	False
53	False	True	1	False
21	False	True	1	False
broadside	True	True	2	False
6th	False	True	1	False
warhead	True	True	2	False
48	False	True	1	False
32	False	True	1	False
59	False	True	1	False
700	False	True	1	False
69	False	True	1	False
1931	False	True	1	False
33	False	True	1	False
89	False	True	1	False
970	False	True	2	False
pounders	True	True	2	False
Hotchkiss	True	True	4	False
96	False	True	1	False
shortcomings	True	True	3	False
Stille	True	True	2	True
98	False	True	1	False
85	False	True	1	False
110	False	True	1	False
120	False	True	1	False
waterline	True	True	2	False
299	False	True	1	False
cemented	True	True	2	False
amidships	True	True	3	False
strake	True	True	3	False
tensile	True	True	2	False
55	False	True	1	False
sloped	True	True	2	False
bulkheads	True	True	2	False
203	False	True	1	False
102	False	True	1	False
254	False	True	1	False
76	False	True	1	False
casemate	True	True	2	False
149	False	True	1	False
barbettes	True	True	3	False
305	False	True	1	False
conning	True	True	2	False
flammable	True	True	3	False
propellant	True	True	2	False
detonations	True	True	3	False
1916	False	True	1	False
Jutland	True	True	2	False
graphically	True	True	2	False
watertight	True	True	2	False
buoyancy	True	True	3	False
rangefinders	True	True	3	False
19	False	True	1	False
Bausch	True	True	3	True
Lomb	True	True	2	False
Stroud	True	True	2	True
1920	False	True	1	False
1920s	False	True	1	False
foremast	True	True	3	False
radars	True	True	2	False
1MF3	False	True	4	False
1927	False	True	1	False
Yokosuka	True	True	2	True
E1Y	False	True	3	True
floatplane	True	True	2	False
1928	False	True	1	False
catapult	True	True	3	False
collapsible	True	True	4	False
tonne	True	True	2	False
Nakajima	True	True	3	True
E4N2	False	True	4	True
biplanes	True	True	2	False
E8N2	False	True	4	True
1938	False	True	1	False
Repulse	True	True	3	False
1941	False	True	1	False
catapults	True	True	4	False
elevate	True	True	3	False
Fusōs	True	False	2	False
1943	False	True	1	False
salvaged	True	True	2	False
abreast	True	True	3	False
57	False	True	1	False
95	False	True	1	False
launchers	True	True	2	False
229	False	True	1	False
overhung	True	True	3	True
219	False	True	1	False
720	False	True	1	False
trolleys	True	True	2	False
stowed	True	True	2	False
stow	True	True	2	True
dispensers	True	True	4	False
-shaped	False	True	2	False
39	False	True	1	False
sorties	True	True	2	False
D4Y	False	True	3	False
Aichi	True	True	2	False
E16A	False	True	3	False
Hiei	True	True	2	True
Guadalcanal	True	True	4	False
22	False	True	1	False
.23	False	True	2	False
444	False	True	2	False
03	False	True	1	False
overhang	True	True	2	False
71	False	True	1	False
1st	False	True	1	False
1919	False	True	1	False
crewmen	True	True	2	False
Mountbatten	True	True	3	True
1922	False	True	1	False
Yayoi	True	True	3	True
1926	False	True	1	False
1935	False	True	1	False
Kure	True	True	2	False
patrolled	True	True	2	False
1937	False	True	1	False
ferried	True	True	3	False
Manchukuo	True	True	3	True
1940	False	True	1	False
2nd	False	True	1	False
refitted	True	True	2	False
degaussing	True	True	3	False
coils	True	True	2	False
sortied	True	True	2	False
Bonin	True	True	2	True
Hōshō	True	False	2	False
Hashirajima	True	True	3	True
Doolittle	True	True	3	True
detonation	True	True	3	False
51	False	True	1	False
douse	True	True	2	False
Shirō	True	False	2	False
Takasu	True	True	3	True
Aleutian	True	True	3	False
standby	True	True	2	False
Sasebo	True	True	3	False
Etajima	True	True	2	True
Truk	True	True	2	True
Matsuda	True	True	2	True
Chiaki	True	True	2	False
634th	False	True	2	True
serviceability	True	True	2	False
retarded	True	True	3	False
D4Ys	False	True	3	True
E16As	False	True	3	False
Jisaburō	True	False	3	False
Ozawa	True	True	2	True
Yashima	True	True	2	True
320	False	True	1	False
airstrike	True	True	3	False
Halsey	True	True	2	True
180	False	True	1	False
rupture	True	True	3	False
plating	True	True	2	False
splinters	True	True	2	False
Chiyoda	True	True	3	True
inflict	True	True	2	False
outboard	True	True	2	True
ruptured	True	True	3	False
111	False	True	1	False
121	False	True	1	False
00	False	True	1	False
Amami	True	True	2	True
Ōshima	True	False	2	True
Spratly	True	True	3	False
Lingga	True	True	2	True
Ranh	True	True	2	True
5th	False	True	1	False
Kiyohide	True	True	3	False
Shima	True	True	2	True
Ōyodo	True	False	3	False
tankers	True	True	2	False
refuel	True	True	2	False
cargoes	True	True	2	False
oilfield	True	True	2	False
Decrypted	True	True	4	False
availed	True	True	2	False
24th	False	True	1	False
foundered	True	True	2	False
wrecks	True	True	2	False
Rifenburg	True	True	3	True
1994	False	True	1	False
WIVB	True	True	2	False
Wolverines	True	True	2	False
1948	False	True	1	False
1950	False	True	1	False
MHSAA	True	True	3	True
Petoskey	True	True	3	False
Kalamazoo	True	True	3	True
Saginaw	True	True	3	False
74	False	True	1	False
Tany	True	True	2	False
ASIN	True	True	2	True
B0006RH9Z6	False	True	8	False
excelling	True	True	2	False
limbed	True	True	2	False
Mich	True	True	2	True
Rifenberg	True	True	3	True
loudest	True	True	2	False
-to	False	True	2	False
1947	False	True	1	False
Magicians	True	True	2	False
jokers	True	True	2	False
Badgers	True	True	2	False
prowled	True	True	2	False
49	False	True	1	False
outgained	True	True	3	False
Trojans	True	True	2	False
491	False	True	2	False
133	False	True	1	False
610	False	True	1	False
508	False	True	2	False
midwestern	True	True	2	False
Heisman	True	True	2	True
1949	False	True	1	False
sportswriters	True	True	3	False
Derricotte	True	True	3	False
1940s	False	True	1	False
1980	False	True	1	False
15th	False	True	1	False
WJR	True	True	3	False
sportscaster	True	True	2	False
1951	False	True	1	False
WBEN	True	True	2	False
foray	True	True	2	False
1950s	False	True	1	False
sideline	True	True	2	True
1980s	False	True	1	False
Medaille	True	True	3	True
WEBR	True	True	2	False
WDCZ	True	True	3	False
Jills	True	True	2	False
cheerleaders	True	True	3	False
A.	False	True	2	False
R.	False	True	2	True
J.	False	True	2	True
Colf	True	True	2	True
Cheektowaga	True	True	3	True
68	False	True	1	False
1988	False	True	1	False
1933	False	True	1	False
Leeward	True	True	2	False
northwestward	True	True	2	False
intensifying	True	True	3	False
Eleuthera	True	True	4	True
161	False	True	1	False
wharves	True	True	3	False
125	False	True	1	False
201	False	True	1	False
dissipating	True	True	4	False
prostrated	True	True	3	False
prodigious	True	True	4	False
$	False	True	1	False
848	False	True	2	False
Gulfwing	True	True	2	False
barometric	True	True	2	True
978	False	True	1	False
mbar	True	True	2	True
88	False	True	1	False
inHg	True	True	2	False
Caicos	True	True	2	False
1100	False	True	1	False
945	False	True	2	False
Saffir	True	True	3	True
Interpolation	True	True	3	False
0500	False	True	2	False
948	False	True	2	False
105	False	True	1	False
Bahama	True	True	2	True
Okeechobee	True	True	4	False
seawalls	True	True	3	False
Clematis	True	True	3	False
plywood	True	True	2	False
177	False	True	1	False
193	False	True	1	False
Abaco	True	True	2	True
61	False	True	1	False
Cistern	True	True	2	False
anemometers	True	True	4	False
129	False	True	1	False
gusts	True	True	2	False
barometers	True	True	3	False
975	False	True	2	False
72	False	True	1	False
Titusville	True	True	2	True
145	False	True	1	False
987	False	True	2	False
97	False	True	1	False
withstood	True	True	3	False
littering	True	True	2	False
floodwaters	True	True	3	False
garages	True	True	2	False
roofing	True	True	2	False
shingles	True	True	2	False
breakage	True	True	2	False
shingle	True	True	2	False
uprooted	True	True	3	False
stringent	True	True	2	False
1929	False	True	1	False
unscathed	True	True	3	False
St.	False	True	2	False
Hobe	True	True	2	False
uninhabitable	True	True	5	False
Salerno	True	True	2	False
minimally	True	True	2	False
coops	True	True	2	False
Indiantown	True	True	2	False
465	False	True	2	False
383	False	True	2	False
brakeman	True	True	2	False
railcars	True	True	2	False
derailed	True	True	2	False
Co.	False	True	2	True
Sulphur	True	True	3	True
sandbags	True	True	2	False
adversely	True	True	2	False
325	False	True	1	False
growers	True	True	2	False
Naktong	True	True	3	True
Pusan	True	True	2	True
ROK	True	True	2	True
repelled	True	True	2	False
untried	True	True	3	False
Yongsan	True	True	2	True
Inchon	True	True	2	True
envelopment	True	True	4	False
disarray	True	True	3	False
7th	False	True	1	False
25th	False	True	1	False
Masan	True	True	2	True
repelling	True	True	2	False
counteroffensive	True	True	4	False
countering	True	True	2	False
Komam	True	True	3	False
4th	False	True	1	False
sparred	True	True	2	False
bridgehead	True	True	2	True
repel	True	True	2	True
Taegu	True	True	2	False
prong	True	True	2	True
overwhelm	True	True	3	False
groupings	True	True	2	False
Miryang	True	True	2	True
35th	False	True	1	False
910	False	True	1	False
Kyo	True	True	2	True
outflank	True	True	4	False
Samnangjin	True	True	4	False
paralleling	True	True	2	False
Kihang	True	True	2	True
Namji	True	True	2	False
Agok	True	True	2	False
270	False	True	1	False
roadblock	True	True	2	False
Kouma	True	True	2	True
M26	False	True	2	True
Pershing	True	True	2	False
M19	False	True	2	False
mortars	True	True	2	False
counterbattery	True	True	3	False
splashes	True	True	2	False
pontoon	True	True	2	False
ponton	True	True	2	True
overran	True	True	2	True
flares	True	True	2	False
whistles	True	True	2	False
209	False	True	1	False
Paekchin	True	True	3	True
G.	False	True	2	True
B.	False	True	2	True
Keiser	True	True	2	True
furnish	True	True	2	False
recoilless	True	True	2	False
Schmitt	True	True	3	False
mortarmen	True	True	2	False
splashing	True	True	2	False
wading	True	True	2	False
unprepared	True	True	4	False
.5	False	True	2	False
02	False	True	1	False
311	False	True	1	False
inflicting	True	True	3	False
Cloverleaf	True	True	2	False
Obong	True	True	2	True
72nd	False	True	2	False
Tugok	True	True	2	False
Morisil	True	True	2	False
astride	True	True	2	False
23rd	False	True	1	False
38th	False	True	1	False
21st	False	True	1	False
L.	False	True	2	True
E.	False	True	2	False
Hutchin	True	True	2	False
outposted	True	True	2	False
platoons	True	True	2	False
31h	False	True	2	False
Changnyong	True	True	3	False
Pugong	True	True	2	False
marshland	True	True	2	False
paddies	True	True	2	False
0300	False	True	2	False
stragglers	True	True	3	False
overtaken	True	True	2	False
K.	False	True	2	False
Jenson	True	True	2	True
Ponch	True	True	2	True
Sanorho	True	True	3	True
23d	False	True	2	False
advisable	True	True	3	False
M.	False	True	2	False
S.	False	True	2	True
17th	False	True	1	False
Sinban	True	True	2	False
Muan	True	True	2	True
penetrations	True	True	2	False
effected	True	True	2	False
409	False	True	2	False
Hyongp	True	True	3	True
08	False	True	1	False
telephoned	True	True	2	False
09	False	True	1	False
airdrops	True	True	3	False
disorganization	True	True	4	False
Toksong	True	True	3	False
spearhead	True	True	2	False
wavering	True	True	2	False
Mukden	True	True	3	True
understrength	True	True	5	False
27th	False	True	1	False
Changwon	True	True	2	False
19th	False	True	1	False
Kyongsan	True	True	3	True
unannounced	True	True	4	False
fuze	True	True	2	True
decimated	True	True	2	False
H.	False	True	2	False
tenaciously	True	True	3	False
Stragglers	True	True	3	False
SCR	True	True	2	False
M1918	False	True	3	True
M1	False	True	1	True
Garand	True	True	2	False
carbines	True	True	3	False
radioed	True	True	2	False
airdrop	True	True	2	False
Ouellette	True	True	3	False
antitank	True	True	3	False
emplaced	True	True	2	False
foxhole	True	True	2	False
diminishing	True	True	3	False
barrages	True	True	2	False
alternated	True	True	2	False
foxholes	True	True	2	False
McDoniel	True	True	3	True
carbine	True	True	2	False
Oullette	True	True	3	True
precarious	True	True	3	False
550	False	True	1	False
roadblocks	True	True	3	False
overlay	True	True	2	False
284	False	True	1	False
06	False	True	1	False
strafing	True	True	3	False
materiel	True	True	2	False
Schauer	True	True	3	False
submachine	True	True	3	False
unopened	True	True	3	False
obstruct	True	True	4	False
Skytrain	True	True	2	False
Mosan	True	True	2	True
infiltrating	True	True	4	False
82nd	False	True	2	False
W.	False	True	2	False
periscope	True	True	3	False
O.	False	True	2	True
Hickey	True	True	2	True
ordinated	True	True	3	False
82d	False	True	2	False
reestablish	True	True	4	False
bloodiest	True	True	2	False
debacles	True	True	3	False
predawn	True	True	3	False
460	False	True	1	False
maneuvering	True	True	2	False
tapered	True	True	2	False
harass	True	True	2	False
barring	True	True	2	False
350	False	True	1	False
563	False	True	2	False
67	False	True	1	False
breaching	True	True	2	False
exploiting	True	True	2	False
həd	True	False	3	True
p.e	False	True	3	True
gangsta	True	True	2	True
Jive	True	True	2	True
Noize	True	True	2	False
Gomes	True	True	2	False
M.C.U.D.	False	True	8	True
Underdog	True	True	2	False
Geer	True	True	2	False
Chizad	True	True	3	True
Mawk	True	True	2	False
B.C.	False	True	4	True
Vaught	True	True	2	False
©	False	False	1	False
1969	False	True	1	False
1997	False	True	1	False
unfocused	True	True	4	False
late-	False	True	2	False
90s	False	True	1	False
Nativity	True	True	2	False
Sabbra	True	True	3	False
Cadabra	True	True	3	False
D.	False	True	2	True
misogynistic	True	True	4	False
Waterbury	True	True	2	True
Ozzfest	True	True	3	False
Korn	True	True	2	True
3000	False	True	1	False
Graceland	True	True	2	True
Loftus	True	True	2	True
truckloads	True	True	3	False
imbue	True	True	3	True
Jaxon	True	True	2	False
Amerika	True	True	3	False
186	False	True	1	False
confrontational	True	True	2	False
megaphone	True	True	2	False
Jahred	True	True	3	False
torrential	True	True	2	False
blatantly	True	True	3	False
incite	True	True	2	False
--	False	True	2	False
ranting	True	True	2	False
X.	False	True	2	True
Theakston	True	True	3	True
à	True	False	1	True
Fugazi	True	True	3	True
stoner	True	True	2	False
soapbox	True	True	2	True
Insomnia	True	True	3	False
138	False	True	1	False
Suffa	True	True	2	False
Headbangers	True	True	3	False
D.I.Y.	False	True	6	True
2009	False	True	1	False
Flipsyde	True	True	3	True
Benge	True	True	2	False
Gregzilla	True	True	3	True
Blankenship	True	True	3	False
rapping	True	True	2	False
extraterrestrial	True	True	4	False
Pelosi	True	True	3	False
Beastie	True	True	2	True
B.I.G.	False	True	6	True
Stratton	True	True	3	True
1996	False	True	1	False
Benekos	True	True	3	False
Wesstyle	True	True	3	True
C.	False	True	2	True
Boyce	True	True	2	False
turntables	True	True	3	False
Hendrich	True	True	2	True
Moke	True	True	2	False
Bistany	True	True	3	True
Lebsack	True	True	3	False
Bubz	True	True	3	True
Biuso	True	True	2	True
1995	False	True	1	False
2016	False	True	1	False
ironclad	True	True	3	False
Gloire	True	True	3	False
1859	False	True	1	False
1856	False	True	1	False
1857	False	True	1	False
hulled	True	True	2	False
1861	False	True	1	False
ironclads	True	True	3	False
1862	False	True	1	False
unarmored	True	True	3	False
afloat	True	True	2	False
Ironclads	True	True	3	False
turreted	True	True	2	False
1880s	False	True	1	False
metallurgy	True	True	3	True
1890s	False	True	1	False
tactically	True	True	2	False
18th	False	True	1	False
1830s	False	True	1	False
1840s	False	True	1	False
