token	token_ids	count	POS
adding	5815	9	['VERB']
addition	2804	45	['NOUN']
additional	3176	28	['ADJ']
additionally	5678	13	['ADV']
additions	13134	2	['NOUN']
address	4769	3	['VERB']
addressed	8280	7	['VERB']
addressing	12786	1	['VERB']
adds	9909	3	['VERB']
adept	26398	1	['ADJ']
adequate	11706	3	['ADJ']
adequately	23613	1	['ADV']
adherence	29235	1	['NOUN']
adherents	25712	2	['NOUN']
adjacent	5516	4	['ADJ']
adjoining	13562	1	['ADJ']
adjusting	19158	1	['VERB']
adjustments	24081	3	['NOUN']
adjutant	20690	2	['NOUN', 'PROPN']
administered	8564	6	['VERB']
administration	3447	15	['NOUN', 'PROPN']
administrations	27722	1	['NOUN']
administrative	3831	6	['ADJ']
administrator	8911	1	['NOUN']
admiration	17005	3	['NOUN']
admired	12749	1	['VERB']
admission	9634	2	['NOUN']
admissions	20247	1	['NOUN']
admits	14456	3	['VERB']
admitted	4914	4	['VERB']
admitting	17927	1	['VERB']
adopt	11092	6	['VERB']
adopted	4233	19	['VERB']
adopting	16151	2	['VERB']
adoption	9886	10	['NOUN']
adorable	23677	2	['ADJ']
adorned	19189	2	['VERB']
ads	14997	1	['NOUN']
adult	4639	9	['NOUN']
adultery	29169	1	['NOUN']
adulthood	20480	2	['NOUN']
adults	6001	6	['NOUN']
advance	5083	16	['VERB', 'NOUN']
advanced	3935	16	['ADJ']
advances	9849	5	['NOUN']
advancing	10787	4	['VERB']
advantage	5056	17	['NOUN']
advantages	12637	7	['NOUN']
advent	13896	1	['NOUN']
adventures	7357	1	['NOUN']
adversary	27248	1	['NOUN']
advertised	17099	1	['VERB']
advertising	6475	5	['NOUN']
advice	6040	10	['NOUN']
advise	18012	1	['VERB']
advised	9449	3	['VERB']
adviser	11747	4	['NOUN', 'PROPN']
advisers	24205	3	['NOUN']
advising	23875	1	['VERB']
advisor	8619	10	['NOUN']
advisors	18934	1	['NOUN']
advisory	7319	1	['NOUN']
advocacy	12288	3	['NOUN']
aerial	9682	7	['ADJ']
aesthetic	12465	2	['ADJ']
aesthetics	20749	1	['NOUN']
affair	6771	5	['NOUN']
affairs	3821	12	['NOUN']
affect	7461	1	['NOUN']
affected	5360	14	['VERB']
affecting	12473	2	['ADJ', 'VERB']
affection	12242	1	['NOUN']
affiliated	6989	1	['VERB']
affiliation	12912	1	['NOUN']
affinity	16730	1	['NOUN']
afford	8984	2	['VERB']
affordable	15184	1	['ADJ']
afraid	4452	3	['ADJ']
african	3060	13	['ADJ']
aft	16638	8	['ADJ']
after	2044	465	['ADP']
aftermath	10530	5	['NOUN']
afternoon	5027	22	['NOUN']
afterward	9707	3	['ADV']
afterwards	5728	11	['ADV']
again	2153	78	['ADV']
against	2114	179	['ADP']
age	2287	41	['NOUN']
aged	4793	6	['ADJ']
agencies	6736	7	['NOUN']
agenda	11376	1	['NOUN']
agent	4005	9	['NOUN']
agents	6074	7	['NOUN']
aggravated	25817	1	['VERB']
aggregator	24089	1	['NOUN']
aggression	14974	1	['NOUN']
aggressive	9376	4	['ADJ']
aggressively	24663	5	['ADV']
agile	29003	1	['ADJ']
ago	3283	3	['ADV']
agree	5993	3	['VERB']
agreed	3530	31	['VERB']
agreeing	16191	3	['VERB']
agreement	3820	8	['NOUN']
agreements	10540	1	['NOUN']
agrees	10217	6	['VERB']
agricultural	4910	6	['ADJ', 'PROPN']
agriculture	5237	5	['NOUN']
aground	29406	2	['ADV']
ahead	3805	21	['ADV']
aid	4681	27	['NOUN']
aide	14895	3	['NOUN']
aided	11553	5	['VERB']
aids	8387	1	['VERB']
aim	6614	2	['NOUN']
aimed	6461	5	['VERB']
aims	8704	1	['NOUN']
ain	7110	2	['VERB']
air	2250	62	['NOUN']
airborne	10519	37	['ADJ']
aircraft	2948	68	['NOUN']
aired	4836	3	['VERB']
airfield	9087	9	['NOUN']
airfields	25278	3	['NOUN']
airing	10499	1	['NOUN']
airlift	20019	2	['NOUN']
airlines	7608	2	['NOUN', 'PROPN']
airplay	15341	2	['NOUN']
airport	3199	19	['NOUN']
airspace	29357	1	['NOUN']
aka	9875	1	['ADV']
akin	17793	1	['ADJ']
album	2201	130	['NOUN']
albums	4042	20	['PROPN', 'NOUN']
alcohol	6544	1	['NOUN']
alcoholic	14813	1	['NOUN']
alcoholism	25519	1	['NOUN']
alert	9499	2	['ADJ', 'NOUN']
alerted	22333	2	['VERB']
algorithms	13792	1	['NOUN']
alien	7344	2	['ADJ']
aligned	13115	1	['VERB']
alignment	12139	1	['NOUN']
alive	4142	18	['ADJ']
all	2035	290	['PRON', 'DET']
alleged	6884	5	['VERB']
allegedly	9382	2	['ADV']
allegiance	14588	4	['NOUN']
alleviate	24251	3	['VERB']
alley	8975	2	['NOUN', 'PROPN']
alliance	4707	1	['NOUN']
allies	6956	12	['PROPN', 'NOUN']
alligator	28833	1	['NOUN']
allocation	16169	2	['NOUN']
allow	3499	18	['VERB']
allowed	3039	46	['VERB']
allowing	4352	24	['VERB']
allows	4473	10	['VERB']
alloy	17564	1	['NOUN']
ally	9698	3	['NOUN']
almost	2471	43	['ADV']
alone	2894	11	['ADV']
along	2247	131	['ADP', 'ADV']
alongside	4077	16	['ADP']
aloud	12575	1	['ADV']
alpha	6541	3	['NOUN', 'PROPN']
alphabet	12440	1	['NOUN']
already	2525	36	['ADV']
also	2036	495	['ADV']
altar	9216	1	['NOUN']
alter	11477	2	['VERB']
altered	8776	6	['VERB']
alternate	6585	1	['ADJ']
alternative	4522	9	['ADJ', 'NOUN']
alternatively	14084	5	['ADV']
alternatives	15955	4	['NOUN']
although	2348	135	['SCONJ']
altitude	7998	1	['NOUN']
altogether	10462	5	['ADV']
always	2467	28	['ADV']
am	2572	8	['AUX']
amalgamated	17143	2	['VERB']
amassed	22151	1	['VERB']
amateur	5515	6	['ADJ']
amazing	6429	3	['ADJ']
ambassador	6059	39	['NOUN']
ambassadors	20986	5	['NOUN']
ambiguity	27637	5	['NOUN']
ambiguous	20080	3	['ADJ']
ambition	16290	3	['NOUN']
ambitious	12479	1	['ADJ']
ambulance	10771	1	['NOUN']
ambush	15283	1	['NOUN']
ambushed	22168	1	['VERB']
amended	13266	1	['VERB']
american	2137	233	['PROPN', 'ADJ']
amid	13463	1	['ADP']
amidst	17171	1	['ADP']
ammonia	25874	3	['NOUN']
ammunition	9290	15	['NOUN']
amnesty	16154	2	['NOUN']
among	2426	60	['ADP']
amongst	5921	3	['ADP']
amount	3815	10	['NOUN']
amounted	18779	5	['VERB']
amounts	8310	5	['NOUN']
amphibious	16182	13	['ADJ']
ample	20851	1	['ADJ']
amplified	26986	1	['VERB']
an	2019	719	['DET']
analogue	21800	1	['NOUN']
analyses	16478	7	['NOUN', 'PROPN', 'VERB']
analysis	4106	12	['NOUN']
analysts	18288	1	['NOUN']
analytical	17826	1	['ADJ']
analyze	17908	1	['VERB']
analyzed	16578	4	['VERB']
analyzing	20253	2	['VERB']
anarchy	26395	2	['NOUN']
ancestor	13032	2	['NOUN']
ancestors	10748	6	['NOUN']
ancestral	14947	5	['ADJ']
ancestry	11377	2	['NOUN']
anchor	8133	2	['VERB', 'NOUN']
anchorage	21086	1	['NOUN']
anchored	14453	1	['VERB']
ancient	3418	26	['ADJ']
and	1998	5793	['CCONJ']
anger	4963	7	['NOUN']
angle	6466	49	['NOUN']
anglican	9437	2	['ADJ']
angrily	14136	2	['ADV']
angry	4854	6	['ADJ']
angular	16108	1	['ADJ']
animal	4111	11	['NOUN']
animals	4176	17	['NOUN']
animated	6579	3	['VERB']
animation	7284	1	['NOUN']
ankle	10792	2	['NOUN']
annexed	13291	1	['VERB']
anniversary	5315	7	['NOUN', 'PROPN']
announce	14970	2	['VERB', 'NOUN']
announced	2623	44	['VERB']
announcement	8874	3	['NOUN']
announcements	25674	1	['NOUN']
announcer	14073	4	['NOUN']
announces	17472	1	['VERB']
announcing	13856	1	['VERB']
annoying	15703	1	['ADJ']
annual	3296	13	['ADJ']
annually	6604	8	['ADV']
annum	28907	1	['NOUN']
another	2178	106	['DET']
answer	3437	3	['NOUN']
answered	4660	1	['VERB']
answers	6998	3	['NOUN']
antennae	28624	1	['NOUN']
anthologies	25675	5	['NOUN']
anthology	9637	9	['NOUN']
anthropological	28395	2	['PROPN', 'ADJ']
anti	3424	25	['ADJ']
anticipated	11436	7	['VERB']
anticipating	26481	2	['VERB']
anticipation	11162	2	['NOUN']
antiquity	16433	1	['NOUN']
anxiety	10089	2	['NOUN']
any	2151	87	['DET']
anybody	10334	4	['PRON']
anyone	3087	8	['PRON']
anything	2505	13	['PRON']
anytime	15933	2	['ADV']
anywhere	5973	4	['ADV']
apart	4237	7	['ADV']
apartments	9620	1	['NOUN']
apologies	25380	1	['NOUN']
apologized	17806	1	['VERB']
apostle	20121	1	['NOUN']
apparatus	14709	3	['NOUN']
apparent	6835	10	['ADJ']
apparently	4593	8	['ADV']
appeal	5574	5	['VERB', 'NOUN', 'PROPN']
appear	3711	11	['VERB']
appearance	3311	37	['NOUN']
appearances	3922	7	['NOUN']
appeared	2596	42	['VERB']
appearing	6037	6	['VERB']
appears	3544	21	['VERB']
appetite	18923	1	['NOUN']
applicable	12711	4	['ADJ']
application	4646	2	['NOUN']
applied	4162	6	['VERB']
applies	12033	1	['VERB']
apply	6611	2	['VERB']
applying	11243	2	['VERB']
appointed	2805	31	['VERB']
appointment	6098	4	['NOUN']
appointments	14651	1	['NOUN']
appreciate	9120	1	['VERB']
appreciated	12315	5	['VERB']
appreciation	12284	2	['NOUN', 'PROPN']
apprentice	13357	4	['PROPN', 'NOUN']
approach	3921	28	['NOUN']
approached	5411	11	['VERB']
approaches	8107	5	['NOUN']
approaching	8455	9	['VERB']
appropriate	6413	6	['ADJ']
appropriated	29223	1	['VERB']
appropriately	23263	1	['ADV']
approval	6226	4	['NOUN']
approve	14300	1	['VERB']
approved	4844	8	['VERB']
approximate	15796	2	['ADJ']
approximately	3155	32	['ADV']
aquatic	13582	17	['ADJ']
arbitrary	15275	1	['ADJ']
arbitration	18010	1	['NOUN']
arc	8115	6	['NOUN']
arch	7905	3	['NOUN']
archaeological	7611	12	['ADJ']
archaeologists	19254	4	['NOUN']
archbishop	6507	13	['NOUN']
archdeacon	21742	5	['NOUN']
arched	9194	2	['VERB', 'ADJ']
arches	13540	3	['NOUN']
archipelago	13888	6	['NOUN']
architect	4944	12	['PROPN', 'NOUN']
architects	8160	17	['PROPN', 'NOUN']
architectural	6549	5	['ADJ']
architecture	4294	8	['NOUN']
archival	22796	2	['NOUN']
archived	9749	1	['VERB']
are	2024	524	['AUX']
area	2181	141	['NOUN']
areas	2752	47	['NOUN']
arena	5196	5	['NOUN', 'PROPN']
arenas	26434	1	['NOUN']
argentine	8511	2	['ADJ', 'PROPN']
arguably	15835	2	['ADV']
argue	7475	3	['VERB']
argued	5275	3	['VERB']
argues	9251	15	['VERB']
arguing	9177	5	['VERB']
argument	6685	6	['NOUN']
arguments	9918	1	['NOUN']
arising	17707	1	['VERB']
aristocratic	19774	1	['ADJ']
arm	2849	6	['NOUN', 'VERB']
armament	14410	16	['NOUN']
armed	4273	26	['ADJ']
armenian	7508	3	['ADJ']
armies	8749	9	['NOUN']
armistice	19125	5	['PROPN', 'NOUN']
armor	8177	52	['NOUN']
armored	10612	33	['ADJ', 'PROPN']
armour	12371	43	['NOUN']
armoured	11104	33	['ADJ']
arms	2608	6	['NOUN']
army	2390	94	['NOUN']
arose	10375	4	['VERB']
around	2105	107	['ADP']
arrange	13621	2	['VERB']
arranged	5412	9	['VERB']
arrangement	6512	6	['NOUN']
arrangements	7565	1	['NOUN']
arrest	6545	3	['NOUN']
arrested	4727	11	['VERB']
arresting	28427	1	['VERB']
arrests	17615	3	['NOUN']
arrival	5508	12	['NOUN']
arrive	7180	7	['VERB']
arrived	3369	32	['VERB']
arrives	8480	6	['VERB']
arriving	7194	5	['VERB']
arrows	12563	2	['NOUN']
arson	24912	1	['NOUN']
artefacts	25762	1	['NOUN']
arthritis	27641	1	['NOUN']
article	3720	17	['NOUN']
articulated	20742	1	['VERB']
artifacts	10471	3	['NOUN']
artificial	7976	2	['ADJ']
artillery	4893	33	['NOUN']
artist	3063	19	['NOUN']
artists	3324	15	['NOUN']
arts	2840	17	['NOUN']
artwork	8266	1	['NOUN']
artworks	22000	1	['NOUN']
as	2004	1605	['ADP']
ascending	22316	1	['VERB']
ascribed	28025	1	['VERB']
ash	6683	1	['NOUN']
ashamed	14984	2	['ADJ']
ashes	11289	1	['NOUN']
ashore	16145	5	['ADV']
aside	4998	10	['ADV']
ask	3198	5	['VERB']
asked	2356	24	['VERB']
asking	4851	2	['VERB']
asks	5176	6	['VERB']
aspect	7814	5	['NOUN']
aspects	5919	12	['NOUN']
aspirations	22877	1	['NOUN']
assassinated	16370	2	['VERB']
assassination	10102	4	['NOUN']
assassins	18364	1	['NOUN']
assault	6101	18	['NOUN']
assaulted	17536	4	['VERB', 'ADJ']
assaults	22664	4	['NOUN']
assembled	9240	8	['VERB']
assembly	3320	14	['NOUN']
assert	20865	2	['VERB']
asserted	13647	1	['VERB']
assertion	23617	1	['NOUN']
asserts	19514	2	['VERB']
assess	14358	1	['VERB']
assessed	14155	3	['VERB']
assessing	20077	1	['VERB']
assessment	7667	3	['NOUN']
asset	11412	1	['NOUN']
assets	7045	3	['NOUN']
assign	23911	1	['VERB']
assigned	4137	28	['VERB']
assignment	8775	7	['NOUN']
assigns	24022	3	['VERB']
assist	6509	3	['VERB']
assistance	5375	6	['NOUN']
assisted	7197	12	['VERB']
assists	8456	2	['NOUN']
associate	5482	4	['NOUN']
associated	3378	33	['VERB']
association	2523	29	['PROPN', 'NOUN']
associations	8924	2	['NOUN']
assume	7868	2	['VERB']
assumed	5071	4	['VERB']
assumes	15980	1	['VERB']
assured	8916	1	['VERB']
asthma	26180	1	['NOUN']
astonishing	26137	1	['ADJ']
astonishment	23819	2	['NOUN']
astronomer	15211	1	['NOUN']
at	2012	1238	['ADP']
ate	8823	1	['VERB']
atheist	23503	1	['ADJ']
athlete	8258	7	['NOUN', 'PROPN']
athletes	7576	9	['NOUN']
athletics	6482	2	['NOUN']
atlantic	4448	8	['PROPN', 'ADJ']
atmosphere	7224	3	['NOUN']
atoll	22292	1	['NOUN']
atom	13787	2	['NOUN']
atoms	13353	1	['NOUN']
atop	10234	2	['ADP', 'ADV']
atrocities	23482	1	['NOUN']
attach	22476	2	['VERB']
attached	4987	15	['VERB']
attachment	14449	1	['NOUN']
attack	2886	84	['NOUN', 'VERB']
attacked	4457	38	['VERB']
attackers	17857	2	['NOUN']
attacking	7866	17	['VERB']
attacks	4491	33	['NOUN', 'VERB']
attain	18759	2	['VERB']
attained	12754	11	['VERB']
attaining	26615	2	['VERB']
attempt	3535	26	['NOUN']
attempted	4692	29	['VERB']
attempting	7161	10	['VERB']
attempts	4740	18	['NOUN', 'VERB']
attend	5463	6	['VERB']
attendance	5270	7	['NOUN']
attended	3230	12	['VERB']
attending	7052	2	['VERB']
attends	23933	1	['VERB']
attention	3086	15	['NOUN']
attested	18470	2	['VERB', 'ADJ']
attitude	7729	4	['NOUN']
attitudes	13818	1	['NOUN']
attorney	4905	8	['NOUN', 'PROPN']
attorneys	16214	1	['NOUN']
attract	9958	1	['VERB']
attracted	6296	8	['VERB']
attraction	8432	3	['NOUN']
attractions	13051	1	['NOUN']
attractive	8702	5	['ADJ']
attracts	17771	2	['VERB']
attributed	7108	9	['VERB']
attributes	12332	1	['VERB']
auction	10470	2	['NOUN']
audible	19525	1	['ADJ']
audience	4378	19	['NOUN']
audiences	9501	8	['NOUN']
audio	5746	1	['NOUN']
auditioned	23008	2	['VERB']
augmented	19335	2	['VERB']
augustine	14060	3	['NOUN']
aunt	5916	2	['NOUN']
auspices	20153	2	['NOUN']
austrian	6161	38	['PROPN', 'ADJ']
authentic	14469	1	['ADJ']
author	3166	9	['NOUN']
authored	8786	2	['VERB']
authorised	19256	1	['VERB']
authoritarian	27246	1	['ADJ']
authorities	4614	5	['NOUN']
authority	3691	17	['NOUN']
authorization	20104	3	['NOUN']
authorized	9362	3	['VERB']
authors	6048	4	['NOUN']
auto	8285	1	['NOUN']
autobiographical	18534	1	['ADJ']
autobiography	10828	1	['NOUN']
automated	12978	1	['VERB']
automatic	6882	6	['ADJ']
automobiles	19207	1	['NOUN']
automotive	12945	1	['ADJ']
autonomous	8392	1	['ADJ']
autonomy	12645	1	['NOUN']
autumn	7114	9	['NOUN']
auxiliary	9830	5	['ADJ']
avail	24608	1	['NOUN']
availability	11343	3	['NOUN']
available	2800	34	['ADJ']
avant	14815	2	['ADJ']
avenge	24896	1	['VERB']
avenues	20859	3	['NOUN']
average	2779	28	['ADJ']
averaged	11398	2	['VERB']
averaging	14985	1	['VERB']
aviation	5734	2	['NOUN']
avoid	4468	10	['VERB']
avoided	9511	5	['VERB']
avoiding	9992	2	['VERB']
aw	22091	1	['INTJ']
await	26751	1	['VERB']
awaited	19605	2	['VERB']
awaiting	15497	3	['VERB']
awarded	3018	14	['VERB']
aware	5204	9	['ADJ']
awareness	7073	2	['PROPN', 'NOUN']
away	2185	56	['ADV']
awesome	12476	1	['ADJ']
awoke	19179	1	['VERB']
axis	8123	4	['NOUN', 'PROPN']
aztec	25245	1	['ADJ']
b	1038	32	['PROPN', 'X']
baby	3336	10	['NOUN']
back	2067	126	['ADV']
backbone	21505	2	['NOUN']
backdrop	18876	1	['NOUN']
backed	6153	3	['VERB']
background	4281	10	['NOUN']
backgrounds	15406	1	['NOUN']
backlash	25748	6	['NOUN']
backs	10457	8	['NOUN']
backseat	19978	1	['NOUN']
backstage	20212	2	['NOUN']
backup	10200	1	['ADJ']
backwards	11043	1	['ADV']
backyard	16125	1	['NOUN']
bad	2919	13	['ADJ']
badge	10780	2	['NOUN']
badly	6649	18	['ADV']
bag	4524	7	['NOUN']
bags	8641	1	['NOUN']
bail	15358	2	['NOUN']
bait	17395	3	['NOUN']
balance	5703	6	['NOUN']
balanced	12042	2	['VERB']
balancing	20120	1	['NOUN']
ball	3608	83	['PROPN', 'NOUN']
ballads	18456	2	['NOUN']
ballot	10428	2	['NOUN']
ballots	17069	4	['NOUN']
bamboo	15216	1	['NOUN']
banana	15212	1	['NOUN']
band	2316	75	['NOUN']
bands	4996	3	['NOUN']
banging	22255	1	['VERB']
bangs	28490	1	['NOUN']
banished	21319	1	['VERB']
bank	2924	33	['NOUN']
bankers	25375	1	['NOUN']
banking	8169	4	['NOUN']
bankrupt	17482	1	['VERB']
banks	5085	4	['NOUN']
banned	7917	5	['VERB']
banners	23562	2	['PROPN', 'NOUN']
banquet	19032	1	['NOUN']
barangay	20937	2	['PROPN', 'NOUN']
barbed	25007	1	['ADJ']
bare	6436	1	['ADJ']
barely	4510	4	['ADV']
bargain	17113	2	['NOUN']
barge	19398	1	['NOUN']
barges	27712	1	['NOUN']
barracks	10492	3	['NOUN']
barrage	19359	3	['NOUN']
barred	15605	2	['VERB', 'PROPN']
barrel	8460	5	['NOUN']
barrels	13826	5	['NOUN']
barrier	8803	5	['NOUN']
barriers	13500	1	['NOUN']
bars	6963	5	['NOUN']
basal	15191	8	['NOUN']
basalt	26343	8	['NOUN']
base	2918	52	['NOUN']
based	2241	66	['VERB']
baseline	26163	1	['ADJ']
baseman	18038	2	['NOUN']
basement	8102	1	['NOUN']
bases	7888	9	['NOUN']
basic	3937	4	['ADJ']
basics	24078	1	['NOUN']
basin	6403	9	['NOUN']
basins	22739	1	['NOUN']
basis	3978	8	['NOUN']
baskets	25946	1	['NOUN']
bass	3321	4	['NOUN']
bassist	9858	3	['NOUN']
bastion	26829	1	['NOUN']
batch	14108	2	['NOUN']
bath	7198	2	['PROPN', 'NOUN']
bathroom	5723	2	['NOUN']
battalions	10157	26	['NOUN']
batter	23801	4	['NOUN']
batteries	10274	13	['NOUN']
battery	6046	15	['NOUN', 'PROPN']
batting	9640	1	['NOUN']
battle	2645	116	['PROPN', 'NOUN']
battlefield	11686	2	['NOUN']
battles	7465	14	['NOUN']
battleship	17224	18	['NOUN', 'PROPN']
battleships	21327	32	['NOUN']
bavarian	15097	3	['ADJ']
bazaar	22774	1	['NOUN']
be	2022	519	['AUX']
beach	3509	19	['NOUN', 'VERB']
beaches	12212	7	['NOUN']
beads	17530	3	['NOUN']
beam	7504	3	['NOUN']
beams	13110	3	['NOUN']
bear	4562	5	['VERB']
bearing	7682	4	['VERB']
bearings	21714	1	['NOUN']
bears	6468	5	['VERB']
beast	6841	3	['PROPN', 'NOUN']
beasts	15109	1	['NOUN']
beat	3786	22	['VERB']
beaten	7854	1	['VERB']
beating	6012	9	['VERB']
beatles	11555	1	['NOUN']
beats	10299	6	['VERB']
beautiful	3376	6	['ADJ']
became	2150	170	['VERB', 'AUX']
because	2138	126	['SCONJ']
become	2468	51	['VERB']
becomes	4150	14	['VERB']
becoming	3352	22	['VERB']
bed	2793	3	['NOUN']
bedroom	5010	7	['NOUN']
beds	9705	2	['NOUN']
been	2042	384	['AUX']
beer	5404	2	['NOUN']
beetles	14538	1	['NOUN']
before	2077	186	['ADP']
beforehand	25828	1	['ADV']
befriended	23386	1	['VERB']
beg	11693	1	['VERB']
began	2211	142	['VERB']
begged	12999	1	['VERB']
begging	12858	2	['VERB']
begin	4088	15	['VERB']
beginning	2927	32	['NOUN']
begins	4269	19	['VERB']
begs	27591	1	['VERB']
begun	5625	14	['VERB']
behalf	6852	12	['NOUN']
behavior	5248	2	['NOUN']
beheaded	28923	2	['VERB']
behind	2369	53	['ADP', 'ADV']
being	2108	141	['NOUN', 'AUX']
belgian	6995	4	['ADJ']
belief	6772	12	['NOUN']
believe	2903	8	['VERB']
believed	3373	35	['VERB']
believer	24591	1	['NOUN']
believes	7164	8	['VERB']
believing	8929	6	['VERB']
belly	7579	4	['NOUN']
belong	7141	2	['VERB']
belonged	6272	1	['VERB']
belonging	7495	2	['VERB']
belongings	20033	1	['NOUN']
belongs	7460	1	['VERB']
below	2917	46	['ADP']
belt	5583	11	['NOUN', 'PROPN']
bench	6847	1	['NOUN']
bending	14457	2	['VERB']
benefactor	27398	3	['NOUN']
beneficial	15189	1	['ADJ']
benefit	5770	3	['NOUN']
benefited	19727	2	['VERB']
benefits	6666	3	['NOUN']
benign	28378	1	['ADJ']
bent	6260	2	['VERB', 'ADJ']
beside	3875	3	['ADP']
besides	4661	4	['SCONJ']
besieged	17923	2	['VERB']
best	2190	118	['ADJ']
bestowed	17398	3	['VERB']
bet	6655	1	['NOUN']
better	2488	37	['ADV', 'ADJ']
between	2090	181	['ADP']
beverages	21705	1	['NOUN']
beyond	3458	16	['ADP']
bias	13827	6	['NOUN']
biased	25352	2	['VERB', 'ADJ']
biblical	10213	5	['ADJ']
bicycle	10165	1	['NOUN']
bicycles	21066	1	['NOUN']
bid	7226	4	['NOUN']
bidding	17534	1	['VERB']
big	2502	45	['ADJ']
bigger	7046	2	['ADJ']
biggest	5221	5	['ADJ']
billion	4551	22	['NUM']
bills	8236	3	['PROPN', 'NOUN']
biographer	17121	1	['NOUN']
biographies	22056	1	['NOUN']
biography	8308	3	['NOUN']
biplane	28686	1	['NOUN']
bird	4743	8	['NOUN']
birds	5055	1	['NOUN']
birth	4182	4	['NOUN']
birthday	5798	1	['NOUN']
birthplace	14508	3	['NOUN']
bit	2978	7	['NOUN']
bitch	7743	1	['NOUN']
biting	12344	3	['VERB']
bitter	8618	3	['ADJ']
bitterly	19248	1	['ADV']
bizarre	13576	2	['ADJ']
blacks	10823	1	['NOUN']
blade	6085	2	['NOUN', 'VERB']
blades	10491	1	['NOUN']
blame	7499	4	['NOUN']
blaming	24114	1	['VERB']
blanche	18158	1	['NOUN']
bland	20857	2	['NOUN']
blanket	8768	2	['PROPN', 'NOUN']
blankets	15019	1	['NOUN']
blast	8479	3	['NOUN']
blasted	18461	1	['VERB']
